,match_id,totalGold,level,xp,totalKills,totalDeaths,level_ups
1,3414943871,204034,453,227236,10,26,90
0,3414943891,91230,210,80877,20,14,68
1,3414943891,83795,203,77768,14,20,66
0,3414943892,279490,566,308218,32,28,104
1,3414943892,292331,571,312857,28,32,104
0,3414943905,231197,456,233349,34,28,92
1,3414943905,221683,442,215716,28,34,90
0,3414943922,233147,523,279990,20,18,102
1,3414943922,234600,530,283928,18,20,102
0,3414943923,207087,435,227052,38,14,98
1,3414943923,173106,395,187461,14,38,88
0,3414943927,163165,380,177294,16,38,84
1,3414943927,225954,427,213746,38,16,90
0,3414943928,325839,648,365125,30,24,102
1,3414943928,310088,647,357362,24,30,108
0,3414943942,100312,249,103272,4,16,70
1,3414943942,106719,251,110732,16,4,78
0,3414943948,171936,376,183589,24,20,92
1,3414943948,183423,385,187795,20,24,88
0,3414943949,94336,211,84896,22,6,64
1,3414943949,77636,201,76205,6,22,64
0,3414943953,125176,251,107414,24,12,72
1,3414943953,101794,241,99979,12,24,74
0,3414943954,67762,173,64336,6,10,60
1,3414943954,72768,179,66774,10,6,64
0,3414943956,170529,369,171961,18,26,84
1,3414943956,171510,371,180649,26,18,88
0,3414943970,205317,464,235093,14,22,96
1,3414943970,223296,475,244922,22,14,96
0,3414943972,191991,455,224692,12,22,90
1,3414943972,210444,460,231362,22,12,92
0,3414944007,63902,167,59168,4,12,58
1,3414944007,76295,185,71681,12,4,66
0,3414944008,68519,178,66924,8,6,62
1,3414944008,69291,171,65023,6,8,62
0,3414944014,189701,445,216698,14,32,90
1,3414944014,221367,466,240617,32,14,96
0,3414944032,240090,509,271621,24,34,100
1,3414944032,289475,515,275373,34,24,98
0,3414944033,5000,10,0,0,0,2
1,3414944033,5000,10,0,0,0,2
0,3414944035,256011,565,305731,22,20,100
1,3414944035,280206,574,311011,20,22,104
0,3414944046,92781,215,86313,16,4,72
1,3414944046,82678,214,86716,4,16,68
0,3414944049,170986,345,155024,32,14,80
1,3414944049,147846,340,157208,14,32,80
0,3414944050,138945,316,141372,22,16,78
1,3414944050,144718,314,137355,16,22,78
0,3414944051,113559,286,125434,10,8,76
1,3414944051,111968,291,128466,8,10,78
0,3414944063,152212,361,166846,8,30,84
1,3414944063,192097,378,183916,30,8,90
0,3414944064,399089,738,432961,24,30,110
1,3414944064,401230,740,437686,30,24,118
0,3414944067,154982,380,182720,14,14,86
1,3414944067,169574,389,191463,14,14,92
0,3414944068,291140,569,308728,36,24,104
1,3414944068,262542,546,285331,24,36,102
0,3414944082,5000,10,0,0,0,8
1,3414944082,5000,10,0,0,0,6
0,3414944088,181583,383,186474,34,24,90
1,3414944088,174995,367,173287,24,34,86
0,3414944091,127547,296,129894,12,36,76
1,3414944091,167849,336,157245,36,12,86
0,3414944097,241094,471,244796,42,24,100
1,3414944097,225089,462,239884,24,42,94
0,3414944107,316631,588,329441,46,24,108
1,3414944107,277738,543,291493,24,46,98
0,3414944130,152439,373,179054,8,22,90
1,3414944130,170447,383,185165,22,8,88
0,3414944142,221153,473,245228,26,26,98
1,3414944142,226256,470,242826,26,26,100
0,3414944145,105008,245,102549,8,16,74
1,3414944145,110433,240,100613,16,8,74
0,3414944149,213358,453,224681,20,24,92
1,3414944149,234282,473,241177,24,20,94
0,3414944158,89649,239,98057,2,22,70
1,3414944158,112366,260,115708,22,2,78
0,3414944193,171027,399,190425,10,18,88
1,3414944193,201128,415,205244,18,10,88
0,3414944196,252958,514,270727,34,30,100
1,3414944196,270752,524,282717,30,34,98
0,3414944197,270898,599,326569,18,26,104
1,3414944197,302589,620,347460,26,18,106
0,3414944198,74954,203,80232,0,6,66
1,3414944198,79569,210,83749,6,0,68
0,3414944211,113076,255,106713,20,8,76
1,3414944211,109802,252,108841,8,20,76
0,3414944215,236639,555,294273,10,6,96
1,3414944215,224629,492,254907,6,10,86
0,3414944216,166051,354,156317,24,28,84
1,3414944216,174659,370,175924,28,24,82
0,3414944217,137850,333,152879,10,4,84
1,3414944217,116749,318,141257,4,10,80
0,3414944221,112078,246,103161,16,16,74
1,3414944221,105086,243,102041,16,16,74
0,3414944223,244830,490,250840,26,48,92
1,3414944223,279499,516,275286,48,26,100
0,3414944229,340390,623,339173,34,36,102
1,3414944229,341129,621,342772,36,34,104
0,3414944233,114098,288,127131,10,8,76
1,3414944233,122554,292,129591,8,10,78
0,3414944237,82068,208,82700,8,10,68
1,3414944237,88875,218,88852,10,8,72
0,3414944240,183945,410,204414,14,12,92
1,3414944240,177203,415,206458,12,14,92
0,3414944246,259529,573,311028,28,20,102
1,3414944246,246995,562,305047,20,28,102
0,3414944250,320700,634,350521,22,24,112
1,3414944250,332399,643,366261,24,22,106
0,3414944262,85415,198,77640,12,6,64
1,3414944262,80257,198,75434,6,12,64
0,3414944267,130587,278,120969,22,22,78
1,3414944267,137162,288,129989,22,22,78
0,3414944270,79068,192,70864,8,12,62
1,3414944270,84431,213,85661,12,8,70
0,3414944274,119984,289,121184,6,38,72
1,3414944274,158841,310,140552,38,6,80
0,3414944285,82116,201,76977,6,8,66
1,3414944285,87547,210,83579,8,6,66
0,3414944310,67414,171,61014,8,10,60
1,3414944310,74209,177,67419,10,8,66
0,3414944317,158327,366,173517,18,18,84
1,3414944317,150998,357,167966,18,18,82
0,3414944321,89734,240,95622,4,18,70
1,3414944321,105051,250,106038,18,4,74
0,3414944331,49223,118,39060,10,4,54
1,3414944331,39897,108,33988,4,10,50
0,3414944335,344043,718,408334,40,34,114
1,3414944335,360491,719,413153,34,40,110
0,3414944346,309333,603,328321,30,18,102
1,3414944346,275263,595,325651,18,30,102
0,3414944362,110154,282,122246,2,18,72
1,3414944362,126257,297,136056,18,2,82
0,3414944380,304302,579,302664,40,52,100
1,3414944380,329496,585,313760,52,40,102
0,3414944382,116150,289,127453,10,8,82
1,3414944382,125127,301,136803,8,10,80
0,3414944387,186217,421,208855,18,28,88
1,3414944387,204360,427,216474,28,18,96
0,3414944388,204768,460,228116,22,18,98
1,3414944388,219127,470,242248,18,22,94
0,3414944391,217716,482,243099,26,40,90
1,3414944391,248245,508,262057,40,26,94
0,3414944402,139523,314,138858,18,10,78
1,3414944402,139672,323,147076,10,18,80
0,3414944418,156275,328,149592,18,24,82
1,3414944418,161772,351,168558,24,18,90
0,3414944425,386024,706,405000,44,32,112
1,3414944425,357989,694,394539,32,44,112
0,3414944432,240206,485,252466,30,20,100
1,3414944432,204074,443,223900,20,30,92
0,3414944433,154802,330,154704,22,18,82
1,3414944433,143283,313,140777,18,22,80
0,3414944442,145547,321,146821,18,12,80
1,3414944442,131639,301,131102,12,18,76
0,3414944453,109503,247,101425,18,4,74
1,3414944453,92737,241,95487,4,18,68
0,3414944475,128557,271,117274,22,20,74
