,match_id,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald
0,{3414943892},1,Win,True,False,True,True,False,False
1,{3414943892},2,Fail,False,True,False,False,True,True
0,{3414943905},1,Win,True,False,True,False,True,False
1,{3414943905},2,Fail,False,True,False,False,False,False
0,{3414943922},1,Win,True,True,True,True,True,True
1,{3414943922},2,Fail,False,False,False,False,False,False
0,{3414943923},1,Win,False,True,True,False,True,False
1,{3414943923},2,Fail,True,False,False,False,False,True
0,{3414943927},1,Fail,False,False,False,False,False,False
1,{3414943927},2,Win,True,True,True,True,True,True
0,{3414943928},1,Win,True,False,True,True,False,True
1,{3414943928},2,Fail,False,True,False,False,True,False
0,{3414943942},1,Fail,True,False,False,False,True,False
1,{3414943942},2,Win,False,True,True,False,False,False
0,{3414943948},1,Win,False,False,True,True,True,False
1,{3414943948},2,Fail,True,True,False,False,False,True
0,{3414943949},1,Win,True,True,True,False,True,True
1,{3414943949},2,Fail,False,False,False,False,False,False
0,{3414943953},1,Win,True,True,True,False,True,False
1,{3414943953},2,Fail,False,False,False,False,False,True
0,{3414943954},1,Fail,True,False,False,False,False,False
1,{3414943954},2,Win,False,True,False,False,True,True
0,{3414943956},1,Fail,False,False,False,True,False,False
1,{3414943956},2,Win,True,True,True,False,True,True
0,{3414943970},1,Fail,False,True,False,False,False,False
1,{3414943970},2,Win,True,False,True,True,True,True
0,{3414943972},1,Win,False,True,True,True,False,True
1,{3414943972},2,Fail,True,False,False,False,True,False
0,{3414944007},1,Fail,True,False,False,False,False,False
1,{3414944007},2,Win,False,True,True,False,True,True
0,{3414944008},1,Win,True,True,False,False,True,True
1,{3414944008},2,Fail,False,False,False,False,False,False
0,{3414944014},1,Fail,False,False,False,False,True,False
1,{3414944014},2,Win,True,True,True,False,False,True
0,{3414944032},1,Win,False,False,True,True,False,False
1,{3414944032},2,Fail,True,True,False,False,True,True
0,{3414944033},1,Fail,False,False,False,False,False,False
1,{3414944033},2,Win,False,False,False,False,False,False
0,{3414944035},1,Fail,True,False,False,True,True,False
1,{3414944035},2,Win,False,True,True,False,False,True
0,{3414944046},1,Win,True,True,False,False,False,True
1,{3414944046},2,Fail,False,False,False,False,True,False
0,{3414944049},1,Win,True,True,True,False,True,False
1,{3414944049},2,Fail,False,False,False,False,False,True
0,{3414944050},1,Win,False,False,False,False,True,False
1,{3414944050},2,Fail,True,True,True,False,False,True
0,{3414944051},1,Win,True,True,True,False,False,False
1,{3414944051},2,Fail,False,False,False,False,True,True
0,{3414944063},1,Fail,False,False,False,False,True,False
1,{3414944063},2,Win,True,True,True,True,False,True
0,{3414944064},1,Fail,False,True,False,True,True,True
1,{3414944064},2,Win,True,False,True,False,False,False
0,{3414944067},1,Fail,False,False,False,False,False,False
1,{3414944067},2,Win,True,True,True,True,True,True
0,{3414944068},1,Win,True,False,True,False,False,True
1,{3414944068},2,Fail,False,True,False,True,True,False
0,{3414944082},1,Win,False,False,False,False,False,False
1,{3414944082},2,Fail,True,False,False,False,False,False
0,{3414944088},1,Win,True,True,True,True,True,False
1,{3414944088},2,Fail,False,False,False,False,False,True
0,{3414944091},1,Fail,False,False,False,False,False,False
1,{3414944091},2,Win,True,True,True,False,True,True
0,{3414944097},1,Fail,True,True,False,False,True,True
1,{3414944097},2,Win,False,False,True,True,False,False
0,{3414944107},1,Win,False,True,True,False,True,True
1,{3414944107},2,Fail,True,False,False,False,False,False
0,{3414944130},1,Win,False,True,True,True,True,True
1,{3414944130},2,Fail,True,False,False,False,False,False
0,{3414944142},1,Fail,True,False,False,False,False,False
1,{3414944142},2,Win,False,True,True,True,True,True
0,{3414944145},1,Fail,True,False,False,False,False,True
1,{3414944145},2,Win,False,True,False,False,True,False
0,{3414944149},1,Fail,False,True,False,True,False,False
